#{"t_start": 1715681333.7286725, "env_id": "ALE/MsPacman-ram-v5"}
r,l,t
70.0,529,1.91775
70.0,529,2.38916
70.0,529,2.858917
70.0,529,3.271256
70.0,529,3.677902
70.0,529,4.295598
70.0,529,4.695606
70.0,529,5.102352
70.0,529,5.509119
70.0,529,5.927698
70.0,529,6.555892
70.0,529,6.991929
70.0,529,7.422562
70.0,529,7.830003
70.0,529,8.259279
70.0,529,8.91531
70.0,529,9.371605
70.0,529,9.813428
70.0,529,10.263068
70.0,529,10.695261
70.0,529,11.342949
70.0,529,11.79951
70.0,529,12.264657
70.0,529,12.7293
70.0,529,13.187351
70.0,529,13.843731
70.0,529,14.314235
70.0,529,14.779907
70.0,529,15.264854
70.0,529,15.71876
70.0,529,16.38994
70.0,529,16.868998
70.0,529,17.358994
70.0,529,17.842938
70.0,529,18.389938
70.0,529,19.070252
70.0,529,19.528812
70.0,529,19.994096
70.0,529,20.444438
70.0,529,20.910092
70.0,529,21.611975
70.0,529,22.074396
70.0,529,22.571064
70.0,529,23.013884
70.0,529,23.511981
70.0,529,24.205334
70.0,529,24.681897
70.0,529,25.181866
70.0,529,25.633335
70.0,529,26.098464
70.0,529,26.776181
70.0,529,27.260365
70.0,529,27.747412
70.0,529,28.204794
70.0,529,28.653555
70.0,529,29.321415
70.0,529,29.779329
70.0,529,30.241533
70.0,529,30.7092
70.0,529,31.170282
70.0,529,31.863731
70.0,529,32.338077
70.0,529,32.824886
70.0,529,33.314341
70.0,529,33.810261
70.0,529,34.503791
70.0,529,34.994891
70.0,529,35.459076
70.0,529,35.924674
70.0,529,36.376935
70.0,529,37.070623
70.0,529,37.554586
70.0,529,38.022827
70.0,529,38.464196
70.0,529,38.911025
70.0,529,39.592415
70.0,529,40.06565
70.0,529,40.535737
70.0,529,40.988168
70.0,529,41.446681
70.0,529,42.112723
70.0,529,42.571724
70.0,529,43.019857
70.0,529,43.481481
70.0,529,43.950642
70.0,529,44.645079
70.0,529,45.107471
70.0,529,45.645328
70.0,529,46.112762
70.0,529,46.607594
70.0,529,47.302998
70.0,529,47.769053
70.0,529,48.23123
70.0,529,48.720063
70.0,529,49.19015
70.0,529,49.874395
70.0,529,50.339843
70.0,529,50.791466
70.0,529,51.24471
70.0,529,51.713297
70.0,529,52.39183
70.0,529,52.870085
70.0,529,53.345996
70.0,529,53.836556
70.0,529,54.332279
70.0,529,55.01361
70.0,529,55.47936
70.0,529,55.94424
70.0,529,56.433658
70.0,529,56.904655
70.0,529,57.590337
70.0,529,58.098029
70.0,529,58.57648
70.0,529,59.044665
70.0,529,59.506781
70.0,529,60.196484
70.0,529,60.683872
70.0,529,61.156821
70.0,529,61.618279
70.0,529,62.111106
60.0,483,62.764063
60.0,483,63.20359
60.0,483,63.646242
60.0,483,64.090756
60.0,483,64.543967
60.0,483,65.207041
60.0,483,65.634894
60.0,483,66.06588
60.0,483,66.50966
60.0,483,66.954641
60.0,483,67.607673
60.0,483,68.045129
60.0,483,68.518642
60.0,483,68.945117
60.0,483,69.408499
60.0,483,70.049376
60.0,483,70.47517
60.0,483,70.903331
60.0,483,71.309404
60.0,483,71.733224
60.0,483,72.388648
60.0,483,72.818167
60.0,483,73.256258
60.0,483,73.696504
60.0,483,74.14464
60.0,483,74.806198
60.0,483,75.241999
60.0,483,75.691524
60.0,483,76.122156
60.0,483,76.549386
60.0,483,77.206318
60.0,483,77.634015
60.0,483,78.06846
60.0,483,78.517885
60.0,483,78.962661
60.0,483,79.601304
60.0,483,80.022105
60.0,483,80.450932
60.0,483,80.871538
60.0,483,81.318773
60.0,483,81.973259
60.0,483,82.410143
60.0,483,82.834508
60.0,483,83.268304
60.0,483,83.696989
60.0,483,84.344614
60.0,483,84.763064
60.0,483,85.225634
60.0,483,85.64815
60.0,483,86.089794
60.0,483,86.782538
60.0,483,87.209621
60.0,483,87.633361
60.0,483,88.059144
60.0,483,88.502536
60.0,483,89.150518
60.0,483,89.604032
60.0,483,90.026831
60.0,483,90.46973
60.0,483,90.893876
60.0,483,91.547378
60.0,483,91.969296
60.0,483,92.421778
60.0,483,92.857866
60.0,483,93.332181
60.0,483,93.988175
60.0,483,94.442309
60.0,483,94.86796
60.0,483,95.297557
60.0,483,95.744921
60.0,483,96.389823
60.0,483,96.818726
60.0,483,97.245997
60.0,483,97.692672
60.0,483,98.164212
60.0,483,98.818524
60.0,483,99.266336
60.0,483,99.695797
60.0,483,100.120322
60.0,483,100.55628
60.0,483,101.234498
60.0,483,101.658967
60.0,483,102.085494
60.0,483,102.504256
60.0,483,102.941727
60.0,483,103.581911
60.0,483,104.003285
60.0,483,104.440869
60.0,483,104.86149
60.0,483,105.315866
60.0,483,105.970062
60.0,483,106.402223
60.0,483,106.831895
60.0,483,107.254826
60.0,483,107.693165
60.0,483,108.342696
60.0,483,108.769614
60.0,483,109.218899
60.0,483,109.642459
60.0,483,110.08215
60.0,483,110.731691
60.0,483,111.164387
60.0,483,111.589212
60.0,483,112.012016
60.0,483,112.449538
60.0,483,113.089291
60.0,483,113.55051
60.0,483,113.973527
60.0,483,114.385761
60.0,483,114.810772
60.0,483,115.46108
60.0,483,115.886883
60.0,483,116.336226
60.0,483,116.764911
60.0,483,117.190599
60.0,483,117.82044
60.0,483,118.227717
60.0,483,118.650933
60.0,483,119.079597
60.0,483,119.499196
60.0,483,120.163853
60.0,483,120.589712
60.0,483,121.024128
60.0,483,121.468331
60.0,483,121.943722
60.0,483,122.609778
60.0,483,123.033126
60.0,483,123.457657
60.0,483,123.913029
60.0,483,124.344612
60.0,483,125.006389
60.0,483,125.432184
60.0,483,125.863595
60.0,483,126.307068
60.0,483,126.742562
60.0,483,127.391473
60.0,483,127.814535
60.0,483,128.255513
60.0,483,128.68722
60.0,483,129.124813
60.0,483,129.781407
60.0,483,130.191348
60.0,483,130.628768
60.0,483,131.050376
60.0,483,131.468856
60.0,483,132.103976
60.0,483,132.52165
60.0,483,132.93736
60.0,483,133.367917
60.0,483,133.816217
60.0,483,134.450665
60.0,483,134.853451
60.0,483,135.264874
60.0,483,135.677767
60.0,483,136.1222
60.0,483,136.796557
60.0,483,137.228603
60.0,483,137.667781
60.0,483,138.106354
60.0,483,138.52838
60.0,483,139.177852
60.0,483,139.625344
60.0,483,140.066517
60.0,483,140.490446
60.0,483,140.958607
60.0,483,141.613823
60.0,483,142.039949
60.0,483,142.474922
60.0,483,142.909431
60.0,483,143.330788
60.0,483,143.985583
60.0,483,144.44188
60.0,483,144.867508
60.0,483,145.287206
60.0,483,145.726821
60.0,483,146.379539
60.0,483,146.805138
60.0,483,147.235712
60.0,483,147.652727
60.0,483,148.077143
60.0,483,148.716911
60.0,483,149.141685
60.0,483,149.569509
60.0,483,149.993934
60.0,483,150.42464
60.0,483,151.09422
60.0,483,151.517563
60.0,483,151.96219
60.0,483,152.407422
60.0,483,152.86397
60.0,483,153.517145
60.0,483,153.966282
60.0,483,154.393779
60.0,483,154.820415
60.0,483,155.267289
60.0,483,155.920726
60.0,483,156.34528
60.0,483,156.792908
60.0,483,157.227459
60.0,483,157.65333
60.0,483,158.299732
60.0,483,158.72355
60.0,483,159.180707
60.0,483,159.597818
60.0,483,160.04491
60.0,483,160.700629
60.0,483,161.133344
60.0,483,161.577944
60.0,483,161.999338
60.0,483,162.422143
60.0,483,163.055903
60.0,483,163.480716
60.0,483,163.887463
60.0,483,164.310845
60.0,483,164.739582
60.0,483,165.406378
60.0,483,165.844815
60.0,483,166.298145
60.0,483,166.723571
60.0,483,167.159356
60.0,483,167.80722
60.0,483,168.241718
60.0,483,168.662414
60.0,483,169.092108
60.0,483,169.540358
60.0,483,170.21246
60.0,483,170.650624
60.0,483,171.070606
60.0,483,171.512587
60.0,483,171.940328
60.0,483,172.585243
60.0,483,173.014777
60.0,483,173.460373
60.0,483,173.883905
60.0,483,174.321589
60.0,483,174.976598
60.0,483,175.401803
60.0,483,175.821611
60.0,483,176.247156
60.0,483,176.669844
60.0,483,177.321711
60.0,483,177.743306
60.0,483,178.172933
60.0,483,178.592652
60.0,483,179.016096
60.0,483,179.661911
60.0,483,180.10049
60.0,483,180.52716
60.0,483,180.96262
60.0,483,181.388441
60.0,483,182.062141
60.0,483,182.487335
60.0,483,182.902199
60.0,483,183.367337
60.0,483,183.824058
60.0,483,184.469781
60.0,483,184.881786
60.0,483,185.301155
60.0,483,185.764474
60.0,483,186.190393
60.0,483,186.818408
60.0,483,187.237772
60.0,483,187.660809
60.0,483,188.086102
60.0,483,188.50195
60.0,483,189.163877
60.0,483,189.603929
60.0,483,190.040496
60.0,483,190.467332
60.0,483,190.891877
60.0,483,191.538574
60.0,483,191.986155
60.0,483,192.409497
60.0,483,192.845196
60.0,483,193.294783
60.0,483,193.945666
60.0,483,194.384924
60.0,483,194.837346
60.0,483,195.288921
60.0,483,195.711617
180.0,685,196.540863
110.0,523,197.009426
110.0,523,197.48271
110.0,523,197.943666
110.0,523,198.439974
70.0,519,199.142125
70.0,519,199.602422
70.0,519,200.062987
70.0,519,200.54109
70.0,519,201.023905
70.0,519,201.71988
70.0,519,202.172663
70.0,519,202.625691
70.0,519,203.068968
70.0,519,203.525664
70.0,519,204.226401
70.0,519,204.691199
70.0,519,205.149588
70.0,519,205.628726
70.0,519,206.098831
70.0,519,206.795622
70.0,519,207.253009
70.0,519,207.708878
70.0,519,208.174231
70.0,519,208.638828
70.0,519,209.312519
70.0,519,209.774153
70.0,519,210.239954
70.0,519,210.694533
70.0,519,211.196585
60.0,483,211.841225
60.0,483,212.26295
60.0,483,212.669974
60.0,483,213.119255
60.0,483,213.56757
60.0,483,214.211739
60.0,483,214.622211
60.0,483,215.039787
60.0,483,215.454854
60.0,483,215.884073
60.0,483,216.532216
60.0,483,216.963491
60.0,483,217.379461
60.0,483,217.803998
60.0,483,218.24655
60.0,483,218.871795
60.0,483,219.306948
60.0,483,219.715013
60.0,483,220.135277
60.0,483,220.588071
60.0,483,221.226021
60.0,483,221.650374
60.0,483,222.062481
60.0,483,222.473831
60.0,483,222.91385
60.0,483,223.559375
60.0,483,223.983986
60.0,483,224.408542
60.0,483,224.837043
60.0,483,225.274785
