#{"t_start": 1715676648.4965386, "env_id": "ALE/MsPacman-ram-v5"}
r,l,t
320.0,541,0.341109
170.0,485,0.786162
230.0,555,1.006325
200.0,491,1.321784
120.0,361,1.590621
260.0,489,2.077244
240.0,481,2.537314
340.0,539,2.973773
350.0,537,3.415725
200.0,439,3.8957
270.0,539,4.530914
210.0,467,4.973475
270.0,523,5.637017
280.0,473,6.393813
230.0,447,7.340953
200.0,573,8.426029
160.0,479,9.227368
190.0,451,10.318362
150.0,441,11.198085
270.0,549,12.726856
270.0,507,14.037751
260.0,541,15.399214
140.0,407,16.780206
250.0,481,18.143539
180.0,449,19.42005
270.0,541,21.059526
280.0,489,22.355133
950.0,949,25.120265
310.0,505,26.64633
270.0,445,28.147402
290.0,567,29.861769
170.0,415,30.995867
270.0,479,32.478334
220.0,501,34.374554
270.0,519,36.194565
220.0,449,37.744122
260.0,525,39.399158
260.0,449,41.368434
260.0,423,42.869427
260.0,413,44.785313
270.0,427,46.753564
240.0,485,48.926308
700.0,703,51.611934
210.0,483,53.623946
510.0,741,57.532931
240.0,513,60.036029
950.0,725,63.449802
330.0,543,66.344592
790.0,671,69.76954
220.0,473,72.380968
190.0,471,74.526615
320.0,525,77.459858
150.0,359,79.570767
220.0,585,82.530236
600.0,791,86.640595
310.0,447,89.279541
480.0,773,94.916551
170.0,383,96.840311
150.0,433,99.781215
370.0,741,104.440939
290.0,521,107.969246
450.0,575,112.260412
270.0,609,116.50046
530.0,679,120.92135
660.0,671,125.654131
