#{"t_start": 1715635368.0384052, "env_id": "ALE/MsPacman-ram-v5"}
r,l,t
310.0,671,1.713588
430.0,587,2.073264
330.0,695,2.476313
320.0,443,2.735287
720.0,677,3.134974
950.0,579,3.848001
280.0,407,4.08862
440.0,615,4.461987
280.0,405,4.708014
420.0,495,5.003683
310.0,635,5.77323
390.0,475,6.061067
580.0,641,6.450536
620.0,645,6.823188
340.0,521,7.148708
590.0,731,8.094055
360.0,475,8.420518
570.0,629,8.850716
370.0,647,9.276281
140.0,405,9.528157
1190.0,733,10.383363
660.0,757,10.934088
290.0,489,11.275101
340.0,513,11.607632
580.0,695,12.041576
930.0,641,12.858273
300.0,399,13.148535
110.0,297,13.34348
320.0,471,13.651513
270.0,477,13.9445
300.0,481,14.613909
490.0,589,14.965424
610.0,647,15.359494
640.0,703,15.788552
400.0,593,16.144402
600.0,661,16.974522
330.0,537,17.311344
330.0,537,17.648519
610.0,765,18.113246
410.0,533,18.434282
510.0,599,19.388197
200.0,379,19.649548
290.0,459,20.099557
300.0,447,20.425889
110.0,297,20.654588
390.0,647,21.676543
180.0,403,21.939336
530.0,709,22.436984
320.0,565,22.839712
220.0,455,23.256502
830.0,523,24.145653
330.0,709,24.611238
830.0,523,24.94939
510.0,881,25.606801
840.0,633,26.106228
430.0,465,27.006797
600.0,763,27.517374
280.0,507,27.853407
310.0,531,28.213677
160.0,553,28.567575
670.0,749,29.543731
210.0,443,29.828876
310.0,411,30.097997
460.0,605,30.488601
400.0,641,30.921572
340.0,527,31.786094
360.0,903,32.374601
460.0,495,32.703464
510.0,529,33.070765
460.0,495,33.497576
170.0,451,34.43175
310.0,649,34.847797
2180.0,873,35.409024
480.0,653,35.834693
300.0,445,36.129703
110.0,397,36.940732
210.0,377,37.201874
780.0,895,37.803942
240.0,803,38.357989
420.0,771,38.961946
480.0,533,40.088843
270.0,589,40.453902
310.0,369,40.681811
1040.0,639,41.064924
220.0,397,41.305918
510.0,665,42.242872
190.0,525,42.588641
190.0,561,42.968936
150.0,521,43.326076
530.0,807,43.889844
330.0,675,44.888196
500.0,763,45.407504
230.0,371,45.652942
500.0,763,46.150005
590.0,593,46.549683
590.0,667,47.639631
340.0,545,48.152124
310.0,695,48.659621
310.0,695,49.270747
350.0,549,49.654066
480.0,609,50.630939
240.0,419,50.894833
320.0,555,51.254706
250.0,519,51.61818
600.0,639,52.041205
240.0,407,52.903083
170.0,377,53.159252
370.0,541,53.522221
130.0,285,53.715147
380.0,435,54.013179
530.0,701,55.180337
530.0,701,55.668131
530.0,701,56.192109
530.0,701,56.733973
660.0,875,57.315926
350.0,493,58.38435
280.0,539,58.764356
450.0,627,59.168028
280.0,453,59.458749
170.0,437,59.721544
280.0,529,60.637042
580.0,657,61.074174
210.0,329,61.29407
240.0,487,61.626311
210.0,329,61.849163
170.0,437,62.803966
540.0,589,63.213989
590.0,613,63.600545
440.0,553,63.944687
190.0,383,64.174085
290.0,527,64.997023
300.0,527,65.321551
290.0,529,65.634361
290.0,529,65.947223
480.0,747,66.411212
440.0,713,67.345571
220.0,515,67.664285
230.0,451,67.934378
290.0,663,68.325875
70.0,529,68.625721
460.0,575,69.551641
280.0,411,69.802234
200.0,453,70.075732
360.0,483,70.368932
330.0,369,70.594446
1010.0,703,71.568572
1640.0,485,71.860338
580.0,673,72.351206
280.0,651,72.801852
150.0,345,73.116247
380.0,405,73.964907
1050.0,703,74.457704
400.0,635,74.892188
510.0,641,75.273258
550.0,679,75.692366
310.0,523,76.471594
320.0,569,76.795002
470.0,611,77.146167
410.0,625,77.505676
220.0,503,77.798034
280.0,439,78.61015
300.0,407,78.854852
250.0,433,79.112043
250.0,463,79.382277
540.0,667,79.765788
370.0,641,80.595571
330.0,581,80.948025
450.0,495,81.280446
1140.0,977,81.905617
1100.0,735,82.347358
370.0,477,83.1446
160.0,311,83.328451
130.0,281,83.494326
240.0,345,83.70513
1070.0,691,84.110817
610.0,741,85.063466
410.0,477,85.334443
300.0,483,85.617833
340.0,455,85.873391
220.0,397,86.117912
210.0,329,86.886307
610.0,631,87.268639
260.0,373,87.491867
270.0,501,87.78845
900.0,529,88.10115
380.0,479,88.948435
410.0,521,89.323176
570.0,769,89.891025
520.0,571,90.247075
570.0,661,90.631888
550.0,691,91.548492
550.0,691,91.950107
550.0,691,92.362151
130.0,405,92.589436
490.0,597,92.930629
420.0,589,93.899787
110.0,499,94.277607
250.0,465,94.576031
380.0,523,94.937686
440.0,677,95.473324
620.0,641,96.436784
1000.0,633,96.81374
310.0,583,97.152534
550.0,585,97.5177
700.0,817,98.041628
590.0,719,99.098102
380.0,537,99.451777
310.0,657,99.881981
460.0,577,100.257056
1070.0,683,100.708993
210.0,395,101.509859
210.0,395,101.768958
210.0,395,102.031246
210.0,395,102.273328
210.0,395,102.512411
610.0,631,103.462224
610.0,631,103.928279
610.0,631,104.407467
610.0,631,104.833942
610.0,631,105.36194
570.0,737,106.411381
350.0,579,106.857022
230.0,799,107.352049
250.0,439,107.622891
470.0,651,108.016201
260.0,393,108.919977
260.0,393,109.156773
360.0,579,109.513782
260.0,393,109.76186
410.0,569,110.164437
980.0,775,111.577882
320.0,433,111.959127
750.0,755,112.574872
310.0,597,112.978196
350.0,499,113.333302
320.0,469,114.360237
320.0,511,114.79331
340.0,651,115.228382
400.0,503,115.574991
370.0,541,116.097574
250.0,529,117.302224
310.0,647,117.801808
260.0,527,118.207925
150.0,487,118.520956
260.0,537,118.979463
330.0,507,119.900936
280.0,665,120.309627
370.0,517,120.63968
1030.0,719,121.072798
260.0,409,121.30928
70.0,529,122.158841
500.0,781,122.633961
70.0,529,122.941221
70.0,529,123.255527
70.0,529,123.595816
70.0,527,124.453175
280.0,595,124.849071
590.0,719,125.300224
360.0,517,125.623694
180.0,501,125.928307
340.0,645,126.845125
340.0,621,127.237874
340.0,645,127.640726
340.0,645,128.05039
300.0,589,128.458008
270.0,389,129.230789
1020.0,627,129.612869
400.0,595,129.973781
380.0,429,130.231042
250.0,451,130.558384
490.0,851,131.735785
300.0,533,132.036254
610.0,671,132.418802
480.0,613,132.771793
350.0,453,133.045616
850.0,443,133.805294
260.0,561,134.132423
120.0,361,134.341756
100.0,403,134.576531
160.0,373,134.811988
560.0,557,135.681023
650.0,669,136.072395
310.0,665,136.461611
